container_name,type,Total Requests,Successful Requests,Failed Requests,Execution Time (s),Requests/s,Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%),Avg Mem (MB),Peak Mem (MB),Total Mem (MB)
dy-erlindex26,dynamic,100,100,0,0.12341737747192383,810.2586689848354,0.0028138811229133608,0.022799715733333333,3,0.0,0.0,0.0,0.0,0.0,0.0
dy-erlindex26,dynamic,1000,1000,0,0.9745931625366211,1026.0691726968937,0.33238944710090157,0.341054565,2,0.0,0.0,0.0,0.0,0.0,0.0
dy-erlindex26,dynamic,5000,5000,0,4.9079930782318115,1018.7463430167134,7.108925733617268,1.4484384187799997,5,0.0,0.0,0.0,0.0,0.0,0.0
dy-erlindex26,dynamic,8000,8000,0,7.928755044937134,1008.9856420912334,17.20147308660181,2.1695049208999997,6,0.0,0.0,0.0,0.0,0.0,0.0
dy-erlindex26,dynamic,10000,10000,0,9.964483737945557,1003.5642852142148,20.153842032943466,2.0225676074111107,9,0.0,0.0,0.0,0.0,0.0,0.0
dy-erlindex26,dynamic,15000,15000,0,15.205739974975586,986.469584820326,56.149458350259486,3.6926488577777774,9,0.0,0.0,0.0,0.0,0.0,0.0
dy-erlindex26,dynamic,20000,20000,0,20.004156589508057,999.7922137087131,59.68043390102269,2.98340165625,12,0.0,0.0,0.0,0.0,0.0,0.0
dy-erlindex26,dynamic,30000,30000,0,31.216286420822144,961.0367996876513,130.130047835907,4.168658823847368,19,0.0,0.0,0.0,0.0,0.0,0.0
dy-erlindex26,dynamic,40000,39999,1,41.675496101379395,959.7966129232487,211.81921510846593,5.082584130329166,24,0.0,0.0,0.0,0.0,0.0,0.0
dy-erlindex26,dynamic,50000,50000,0,53.61012554168701,932.659632761356,283.3269684566236,5.284952527042857,28,0.0,0.0,0.0,0.0,0.0,0.0
dy-erlindex26,dynamic,60000,59998,2,66.88062620162964,897.1207868047446,322.38897401611814,4.820364167108571,35,0.0,0.0,0.0,0.0,0.0,0.0
dy-erlindex26,dynamic,70000,69995,5,82.34314131736755,850.1011605836784,424.7232241776625,5.157967225718181,44,0.0,0.0,0.0,0.0,0.0,0.0
dy-erlindex26,dynamic,80000,79991,9,101.04274892807007,791.7440969163467,489.3157614982924,4.84266082118,55,0.0,0.0,0.0,0.0,0.0,0.0
