container_name,type,Total Requests,Successful Requests,Failed Requests,Execution Time (s),Requests/s,Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%),Avg Mem (MB),Peak Mem (MB),Total Mem (MB)
dy-erlindex27,dynamic,100,100,0,0.1079397201538086,926.443017060866,0.0020580966555817128,0.01906709275,2,0.0,0.0,0.0,0.0,0.0,0.0
dy-erlindex27,dynamic,1000,1000,0,1.0030498504638672,996.9594228417892,0.3132310030330658,0.31227859999999996,2,0.0,0.0,0.0,0.0,0.0,0.0
dy-erlindex27,dynamic,5000,5000,0,5.004849433898926,999.031052989111,10.852594226235901,2.1684157275,4,0.0,0.0,0.0,0.0,0.0,0.0
dy-erlindex27,dynamic,8000,8000,0,7.955229759216309,1005.6277747015193,16.673613529083827,2.0959311086857144,7,0.0,0.0,0.0,0.0,0.0,0.0
dy-erlindex27,dynamic,10000,9999,1,9.981451511383057,1001.8582957193942,22.550194125285472,2.2592099054499997,8,0.0,0.0,0.0,0.0,0.0,0.0
dy-erlindex27,dynamic,15000,14999,1,15.04248571395874,997.175618792889,51.63482536372308,3.432599262222222,9,0.0,0.0,0.0,0.0,0.0,0.0
dy-erlindex27,dynamic,20000,20000,0,20.25061345100403,987.6244020157521,79.38369879276185,3.9200639025,12,0.0,0.0,0.0,0.0,0.0,0.0
dy-erlindex27,dynamic,30000,29998,2,30.85808229446411,972.1926240822149,159.21641225922326,5.159634054375,16,0.0,0.0,0.0,0.0,0.0,0.0
dy-erlindex27,dynamic,40000,39998,2,41.648380279541016,960.4215033459355,209.99313886650447,5.042048153062501,24,0.0,0.0,0.0,0.0,0.0,0.0
dy-erlindex27,dynamic,50000,50000,0,55.085488080978394,907.6800758576837,283.05425691854657,5.138454187833333,30,0.0,0.0,0.0,0.0,0.0,0.0
dy-erlindex27,dynamic,60000,59997,3,67.67260026931763,886.6217606714849,371.6348991623423,5.491659810371429,35,0.0,0.0,0.0,0.0,0.0,0.0
dy-erlindex27,dynamic,70000,69997,3,82.70759725570679,846.3551393420515,426.3404621055118,5.15479201732093,43,0.0,0.0,0.0,0.0,0.0,0.0
dy-erlindex27,dynamic,80000,79995,5,101.21050000190735,790.4318227702894,512.0107724704557,5.058870102023077,52,0.0,0.0,0.0,0.0,0.0,0.0
