Total Requests,Successful Requests,Failed Requests,Execution Time (s),Requests/s,Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%),Avg Mem (MB),Peak Mem (MB),Total Mem (MB)
100,100,0,0.11190223693847656,893.637184884692,0.00034467690603065494,0.003080161,2,0.0,0.0,0.0,0.0,0.0,0.0
1000,1000,0,0.7877664566040039,1269.411754736191,0.017064916816137313,0.021662406,1,0.0,0.0,0.0,0.0,0.0,0.0
5000,5000,0,3.8111844062805176,1311.928121809171,2.039878714017892,0.5352348499999999,2,0.0,0.0,0.0,0.0,0.0,0.0
8000,8000,0,6.113378286361694,1308.6054265359564,2.374010670262675,0.38833040572,5,0.0,0.0,0.0,0.0,0.0,0.0
10000,10000,0,9.28998351097107,1076.4281753773225,4.933106001372203,0.5310134291999999,5,0.0,0.0,0.0,0.0,0.0,0.0
15000,15000,0,14.495131731033325,1034.8301952914148,8.812405267820434,0.6079562042857142,7,0.0,0.0,0.0,0.0,0.0,0.0
20000,17885,2115,22.645437240600586,883.1801209005746,10.289021531342858,0.454352964,11,0.0,0.0,0.0,0.0,0.0,0.0
30000,28231,1769,33.36252522468567,899.2125085844023,16.31036084153701,0.4888826829411765,17,0.0,0.0,0.0,0.0,0.0,0.0
40000,28710,11290,62.971099615097046,635.212029716727,31.04364108890724,0.4929823566470588,17,0.0,0.0,0.0,0.0,0.0,0.0
50000,37958,12042,71.37070727348328,700.5675284736425,34.21523309621317,0.47940162572727274,22,0.0,0.0,0.0,0.0,0.0,0.0
60000,48437,11563,85.74191975593567,699.7743947276895,41.22016176792068,0.480746895862069,29,0.0,0.0,0.0,0.0,0.0,0.0
70000,56463,13537,100.09683632850647,699.3228014746434,49.25041645931522,0.4920277030303029,33,0.0,0.0,0.0,0.0,0.0,0.0
80000,58161,21839,125.77534079551697,636.0547265784189,62.74431850192463,0.49886025436363624,33,0.0,0.0,0.0,0.0,0.0,0.0
